,Date,Away_Team,Home_Team,Weather_Temp,Weather_Type
293,Sun 11/27/16 04:25 PM,Carolina Panthers,Oakland Raiders,56.0, Clear
294,Sun 09/11/16 01:00 PM,Los Angeles Chargers,Kansas City Chiefs,73.0, Clear
295,Sun 11/13/16 01:00 PM,Chicago Bears,Tampa Bay Buccaneers,77.0, Clear
296,Sun 09/11/16 04:25 PM,Detroit Lions,Indianapolis Colts,,DOME
297,Sun 10/09/16 01:00 PM,Washington Redskins,Baltimore Ravens,61.0, Partly Cloudy
298,Sun 10/16/16 01:00 PM,Cincinnati Bengals,New England Patriots,66.0, Clear
299,Sun 11/20/16 08:30 PM,Green Bay Packers,Washington Redskins,38.0, Partly Cloudy
300,Sun 10/09/16 04:25 PM,Los Angeles Chargers,Oakland Raiders,78.0, Clear
301,Sun 10/16/16 01:00 PM,Los Angeles Rams,Detroit Lions,,DOME
302,Sun 01/01/17 08:30 PM,Green Bay Packers,Detroit Lions,,DOME
303,Sat 08/20/16 08:00 PM,New Orleans Saints,Houston Texans,85.0, Partly Cloudy
304,Thu 10/20/16 08:25 PM,Chicago Bears,Green Bay Packers,47.0, Mostly Cloudy
305,Sat 08/20/16 04:00 PM,New York Giants,Buffalo Bills,85.0, Partly Cloudy
306,Sun 09/11/16 01:00 PM,Cleveland Browns,Philadelphia Eagles,83.0, Clear
307,Thu 08/18/16 10:00 PM,Minnesota Vikings,Seattle Seahawks,82.0, Clear
308,Thu 08/11/16 07:00 PM,Tampa Bay Buccaneers,Philadelphia Eagles,89.0, Clear
309,Fri 08/19/16 08:00 PM,Miami Dolphins,Dallas Cowboys,72.0, Humid and Partly Cloudy
310,Sun 09/18/16 01:00 PM,Kansas City Chiefs,Houston Texans,89.0, Partly Cloudy
311,Sun 09/18/16 01:00 PM,San Francisco 49ers,Carolina Panthers,85.0, Partly Cloudy
312,Sun 11/27/16 01:00 PM,New York Giants,Cleveland Browns,46.0, Clear
313,Thu 09/01/16 07:00 PM,New England Patriots,New York Giants,74.0, Partly Cloudy
314,Sun 11/20/16 01:00 PM,Buffalo Bills,Cincinnati Bengals,37.0, Overcast
315,Sun 10/23/16 01:00 PM,Baltimore Ravens,New York Jets,58.0, Partly Cloudy
316,Sun 12/18/16 01:00 PM,Detroit Lions,New York Giants,48.0, Mostly Cloudy
317,Mon 10/24/16 08:30 PM,Houston Texans,Denver Broncos,66.0, Partly Cloudy
318,Thu 09/29/16 08:25 PM,Miami Dolphins,Cincinnati Bengals,59.0, Mostly Cloudy
319,Fri 08/26/16 07:30 PM,New England Patriots,Carolina Panthers,87.0, Clear
320,Sun 10/30/16 01:00 PM,New York Jets,Cleveland Browns,54.0, Mostly Cloudy
321,Sun 10/02/16 04:25 PM,Los Angeles Rams,Arizona Cardinals,,DOME
322,Sun 10/09/16 01:00 PM,Chicago Bears,Indianapolis Colts,,DOME
323,Sun 11/06/16 01:00 PM,New York Jets,Miami Dolphins,79.0, Clear
324,Sun 11/27/16 08:30 PM,Kansas City Chiefs,Denver Broncos,44.0, Mostly Cloudy
325,Sun 01/01/17 04:25 PM,Arizona Cardinals,Los Angeles Rams,56.0, Clear
326,Sun 09/11/16 01:00 PM,Cincinnati Bengals,New York Jets,80.0, Partly Cloudy
327,Fri 08/12/16 08:00 PM,Cleveland Browns,Green Bay Packers,73.0, Mostly Cloudy
328,Sat 08/27/16 07:30 PM,New York Giants,New York Jets,80.0, Clear
329,Sun 09/25/16 04:25 PM,New York Jets,Kansas City Chiefs,65.0, Mostly Cloudy
330,Mon 10/03/16 08:30 PM,New York Giants,Minnesota Vikings,,DOME
331,Sun 12/18/16 01:00 PM,Indianapolis Colts,Minnesota Vikings,,DOME
332,Sat 08/27/16 01:00 PM,Kansas City Chiefs,Chicago Bears,75.0, Mostly Cloudy
