,Rk,Tm,Year,Date,Time,LTime,Unnamed: 6,Opp,Week,G#,Day,Result,OT,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds.1,Rate
100,1097,CHI,2017,2017-12-24,1:00,12:00,,CLE,16,15,Sun,W 20-3,,14,23,60.9,161,0,0,5,32,82.0
101,1098,CLE,2017,2017-10-29,9:30,2:30,,MIN,8,8,Sun,L 16-33,,18,34,52.9,161,0,0,3,18,65.9
102,1099,MIA,2019,2019-09-29,1:00,1:00,,LAC,4,4,Sun,L 10-30,,17,24,70.8,161,1,1,5,19,85.6
103,1100,PHI,2017,2017-09-24,1:00,1:00,,NYG,3,3,Sun,W 27-24,,21,31,67.7,161,1,0,3,15,90.9
0,1101,BUF,2018,2018-11-25,1:00,1:00,,JAX,12,11,Sun,W 24-21,,8,19,42.1,160,1,0,0,0,89.8
1,1102,CAR,2019,2019-10-06,1:00,1:00,,JAX,5,5,Sun,W 34-27,,17,31,54.8,160,1,0,3,21,80.0
2,1103,CHI,2018,2018-11-18,8:20,12:00,,MIN,11,10,Sun,W 25-20,,20,31,64.5,160,1,2,1,5,61.2
3,1104,DAL,2018,2018-09-16,8:20,7:20,,NYG,2,2,Sun,W 20-13,,16,25,64.0,160,1,0,0,0,95.4
4,1105,SEA,2019,2019-09-08,4:05,1:05,,CIN,1,1,Sun,W 21-20,,14,20,70.0,160,2,0,4,35,127.1
5,1106,CHI,2017,2017-10-09,8:30,7:30,,MIN,5,5,Mon,L 17-20,,13,26,50.0,159,2,1,1,7,78.8
6,1107,ARI,2018,2018-12-23,4:05,2:05,,LAR,16,15,Sun,L 9-31,,18,31,58.1,159,1,0,4,23,82.6
7,1108,DEN,2016,2016-09-08,8:40,6:40,,CAR,1,1,Thu,W 21-20,,18,26,69.2,159,1,2,2,19,66.0
8,1109,KAN,2016,2016-12-18,1:00,12:00,,TEN,15,14,Sun,L 17-19,,15,28,53.6,159,0,1,1,4,55.5
9,1110,OAK,2018,2018-12-24,8:15,5:15,,DEN,16,15,Mon,W 27-14,,19,26,73.1,159,0,0,1,8,88.5
10,1111,CIN,2019,2019-11-24,1:00,1:00,,PIT,12,11,Sun,L 10-16,,12,26,46.2,158,1,0,4,34,78.7
11,1112,CLE,2015,2015-09-20,1:02,1:02,,TEN,2,2,Sun,W 28-14,,8,15,53.3,158,2,0,2,14,130.0
12,1113,IND,2017,2017-12-14,8:25,8:25,,DEN,15,14,Thu,L 13-25,,17,30,56.7,158,0,0,1,0,71.2
13,1114,DEN,2016,2016-10-24,8:30,6:30,,HOU,7,7,Mon,W 27-9,,14,25,56.0,157,1,0,0,0,88.2
14,1115,NYG,2015,2015-10-25,4:25,4:25,,DAL,7,7,Sun,W 27-20,,13,24,54.2,157,0,0,2,13,74.5
15,1116,NYJ,2016,2016-11-13,1:00,1:00,,LAR,10,10,Sun,L 6-9,,19,32,59.4,157,1,1,1,6,69.4
16,1117,CAR,2017,2017-09-24,1:00,1:00,,NOR,3,3,Sun,L 13-34,,19,33,57.6,156,0,3,4,28,31.9
17,1118,IND,2018,2018-10-21,1:00,1:00,,BUF,7,7,Sun,W 37-5,,17,23,73.9,156,4,0,0,0,131.5
18,1119,NYG,2019,2019-10-20,1:00,1:00,,ARI,7,7,Sun,L 21-27,,22,35,62.9,156,1,1,8,67,70.7
